method,n_subjects,mean_accuracy,std_accuracy,worst_accuracy,mean_kappa,std_kappa,worst_kappa,mean_delta_vs_baseline,delta_ci95_low,delta_ci95_high,neg_transfer_rate_vs_baseline,n_pos,n_neg,n_zero,p_wilcoxon_two_sided,p_wilcoxon_greater,p_sign_greater,accept_rate,p_wilcoxon_two_sided_holm,p_sign_greater_holm
ea-stack-multi-safe-csp-lda,9,0.5497685185185185,0.1958961187768963,0.2569444444444444,0.39969135802469136,0.26119482503586167,0.0092592592592593,0.017746913580246913,0.006944444444444444,0.028935185185185182,0.0,5,0,4,0.0625,0.03125,0.03125,0.6666666666666666,0.375,0.3125
ea-csp-lda,9,0.5320216049382716,0.19158501570887557,0.2569444444444444,0.3760288065843621,0.2554466876118341,0.0092592592592593,0.0,0.0,0.0,0.0,0,0,9,,,,,,
rpa-csp-lda,9,0.51929012345679,0.17606008073270416,0.28125,0.35905349794238683,0.23474677431027224,0.04166666666666663,-0.012731481481481479,-0.03896604938271604,0.008873456790123462,0.4444444444444444,3,4,2,0.46875,0.8125,0.7734375,,0.921875,1.0
rpa-mdm,9,0.5181327160493827,0.16461755550076254,0.2569444444444444,0.3575102880658436,0.21949007400101675,0.0092592592592593,-0.013888888888888888,-0.04243827160493828,0.015817901234567906,0.5555555555555556,3,5,1,0.4609375,0.80859375,0.85546875,,0.921875,1.0
tsa-csp-lda,9,0.5123456790123456,0.17075878348018,0.2777777777777778,0.3497942386831276,0.22767837797357338,0.03703703703703709,-0.019675925925925923,-0.04861111111111113,0.004629629629629632,0.5555555555555556,3,5,1,0.25,0.90234375,0.85546875,,0.75,1.0
ea-fbcsp-lda,9,0.5057870370370371,0.2010293725851407,0.2569444444444444,0.34104938271604934,0.2680391634468542,0.0092592592592593,-0.026234567901234573,-0.05709876543209876,0.011574074074074058,0.7777777777777778,2,7,0,0.12890625,0.951171875,0.98046875,,0.64453125,1.0
rpa-ts-lr,9,0.5015432098765432,0.14772368482565856,0.2916666666666667,0.3353909465020577,0.1969649131008781,0.05555555555555558,-0.0304783950617284,-0.06635802469135804,0.0054012345679012525,0.6666666666666666,3,6,0,0.12890625,0.951171875,0.91015625,,0.64453125,1.0
csp-lda,9,0.4089506172839506,0.1408688919180508,0.2465277777777778,0.21193415637860083,0.18782518922406774,-0.004629629629629539,-0.123070987654321,-0.17129629629629634,-0.0756076388888897,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
fbcsp-lda,9,0.38348765432098764,0.11922560387852478,0.2465277777777778,0.17798353909465023,0.158967471838033,-0.004629629629629539,-0.14853395061728392,-0.21373456790123457,-0.0817901234567901,0.8888888888888888,1,8,0,0.0078125,0.998046875,0.998046875,,0.0546875,1.0
riemann-mdm,9,0.33526234567901236,0.1199313687091322,0.25,0.11368312757201646,0.1599084916121763,0.0,-0.19675925925925922,-0.2978395061728395,-0.10493827160493828,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
ts-lr,9,0.3275462962962963,0.06654086075255833,0.2361111111111111,0.10339506172839505,0.08872114767007777,-0.0185185185185186,-0.20447530864197533,-0.2839506172839506,-0.12344714506172921,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
