subject,anchor_guard_delta,accept,selected_family,selected_acc,anchor_acc,delta_acc,oracle_acc
1,0.0,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.0,1,chan,0.2534722222222222,0.2569444444444444,-0.00347222222222221,0.28125
3,0.0,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.0,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.0,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.0,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.0,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.0,1,chan,0.75,0.71875,0.03125,0.75
9,0.0,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.01,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.01,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.01,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.01,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.01,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.01,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.01,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.01,1,chan,0.75,0.71875,0.03125,0.75
9,0.01,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.03,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.03,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.03,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.03,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.03,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.03,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.03,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.03,1,chan,0.75,0.71875,0.03125,0.75
9,0.03,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.05,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.05,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.05,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.05,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.05,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.05,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.05,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.05,1,chan,0.75,0.71875,0.03125,0.75
9,0.05,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.07,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.07,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.07,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.07,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.07,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.07,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.07,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.07,1,chan,0.75,0.71875,0.03125,0.75
9,0.07,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.1,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.1,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.1,1,chan,0.7951388888888888,0.75,0.04513888888888884,0.8472222222222222
4,0.1,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.1,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.1,1,chan,0.3923611111111111,0.3576388888888889,0.03472222222222221,0.4027777777777778
7,0.1,1,rpa,0.5729166666666666,0.5729166666666666,0.0,0.6006944444444444
8,0.1,1,chan,0.75,0.71875,0.03125,0.75
9,0.1,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
