method,n_subjects,mean_accuracy,worst_accuracy,accept_rate,mean_delta_vs_ea,neg_transfer_rate_vs_ea
csp-lda,9,0.6743827160493827,0.4305555555555556,,-0.057870370370370364,0.7777777777777778
ea-csp-lda,9,0.7322530864197531,0.5208333333333334,,,
ea-fbcsp-lda,9,0.7152777777777778,0.5625,,-0.01697530864197531,0.4444444444444444
ea-stack-multi-safe-csp-lda,9,0.7330246913580247,0.5208333333333334,0.1111111111111111,0.0007716049382716022,0.0
fbcsp-lda,9,0.6929012345679013,0.5625,,-0.03935185185185183,0.5555555555555556
lea-csp-lda,9,0.7283950617283951,0.4930555555555556,,-0.003858024691358011,0.3333333333333333
riemann-mdm,9,0.5717592592592593,0.5,,-0.1604938271604938,1.0
rpa-mdm,9,0.726851851851852,0.5625,,-0.005401234567901203,0.5555555555555556
rpa-ts-lr,9,0.6998456790123456,0.5486111111111112,,-0.03240740740740738,0.7777777777777778
ts-lr,9,0.6381172839506173,0.4861111111111111,,-0.0941358024691358,0.8888888888888888
