method,n_subjects,mean_accuracy,std_accuracy,worst_accuracy,mean_kappa,std_kappa,worst_kappa,mean_delta_vs_baseline,delta_ci95_low,delta_ci95_high,neg_transfer_rate_vs_baseline,n_pos,n_neg,n_zero,p_wilcoxon_two_sided,p_wilcoxon_greater,p_sign_greater,accept_rate,p_wilcoxon_two_sided_holm,p_sign_greater_holm
ea-stack-multi-safe-csp-lda_strict_delta,9,0.5486111111111112,0.20187471333542312,0.2534722222222222,0.39814814814814814,0.26916628444723084,0.00462962962962965,0.01658950617283952,0.00540123456790124,0.028549382716049405,0.1111111111111111,5,1,3,0.0625,0.03125,0.109375,0.6666666666666666,0.375,0.984375
ea-stack-multi-safe-csp-lda_strict_delta_minpred002,9,0.5470679012345679,0.19963851935129945,0.2569444444444444,0.39609053497942387,0.26618469246839926,0.0092592592592593,0.015046296296296304,0.003472222222222222,0.02777777777777779,0.0,4,0,5,0.125,0.0625,0.0625,0.4444444444444444,0.625,0.625
ea-csp-lda,9,0.5320216049382716,0.19158501570887557,0.2569444444444444,0.3760288065843621,0.2554466876118341,0.0092592592592593,0.0,0.0,0.0,0.0,0,0,9,,,,,,
ea-fbcsp-lda,9,0.5223765432098765,0.15546786411659708,0.2881944444444444,0.3631687242798354,0.20729048548879606,0.05092592592592593,-0.009645061728395058,-0.04089506172839505,0.020447530864197525,0.5555555555555556,4,5,0,0.734375,0.673828125,0.74609375,,1.0,1.0
lea-csp-lda,9,0.51929012345679,0.17606008073270416,0.28125,0.35905349794238683,0.23474677431027224,0.04166666666666663,-0.012731481481481479,-0.03896604938271604,0.008873456790123462,0.4444444444444444,3,4,2,0.46875,0.8125,0.7734375,,1.0,1.0
rpa-mdm,9,0.5181327160493827,0.16461755550076254,0.2569444444444444,0.3575102880658436,0.21949007400101675,0.0092592592592593,-0.013888888888888888,-0.04243827160493828,0.015817901234567906,0.5555555555555556,3,5,1,0.4609375,0.80859375,0.85546875,,1.0,1.0
rpa-ts-lr,9,0.5015432098765432,0.14772368482565856,0.2916666666666667,0.3353909465020577,0.1969649131008781,0.05555555555555558,-0.0304783950617284,-0.06635802469135804,0.0054012345679012525,0.6666666666666666,3,6,0,0.12890625,0.951171875,0.91015625,,0.625,1.0
csp-lda,9,0.4089506172839506,0.1408688919180508,0.2465277777777778,0.21193415637860083,0.18782518922406774,-0.004629629629629539,-0.123070987654321,-0.17129629629629634,-0.0756076388888897,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
fbcsp-lda,9,0.3487654320987654,0.08137734691471525,0.2465277777777778,0.1316872427983539,0.10850312921962031,-0.004629629629629539,-0.18325617283950618,-0.25655864197530864,-0.10917245370370451,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
riemann-mdm,9,0.33526234567901236,0.1199313687091322,0.25,0.11368312757201646,0.1599084916121763,0.0,-0.19675925925925922,-0.2978395061728395,-0.10493827160493828,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
ts-lr,9,0.3275462962962963,0.06654086075255833,0.2361111111111111,0.10339506172839505,0.08872114767007777,-0.0185185185185186,-0.20447530864197533,-0.2839506172839506,-0.12344714506172921,1.0,0,9,0,0.00390625,1.0,1.0,,0.0390625,1.0
